PMID,Title,Exclusion,Code Available,Data Available,Repository Link,Comments,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
36199009,Review Paper: Reporting Practices for Task fMRI Studies,Not original research,,,,,"Acar F, Maumet C, Heuten T, Vervoort M, Bossier H, Seurinck R, Moerkerke B.",Neuroinformatics. 2023 Jan;21(1):221-242. doi: 10.1007/s12021-022-09606-2. Epub 2022 Oct 6.,Acar F,Neuroinformatics,2023,2022/10/05,,,10.1007/s12021-022-09606-2
36801369,Task fMRI paradigms may capture more behaviorally relevant information than resting-state functional connectivity,,TRUE,TRUE,https://github.com/ABCD-STUDY,,"Zhao W, Makowski C, Hagler DJ, Garavan HP, Thompson WK, Greene DJ, Jernigan TL, Dale AM.",Neuroimage. 2023 Apr 15;270:119946. doi: 10.1016/j.neuroimage.2023.119946. Epub 2023 Feb 17.,Zhao W,Neuroimage,2023,2023/02/21,,,10.1016/j.neuroimage.2023.119946
36892726,Blind Subgrouping of Task-based fMRI,,FALSE,,,,"Fisher ZF, Parsons J, Gates KM, Hopfinger JB.",Psychometrika. 2023 Jun;88(2):434-455. doi: 10.1007/s11336-023-09907-8. Epub 2023 Mar 9.,Fisher ZF,Psychometrika,2023,2023/03/09,,,10.1007/s11336-023-09907-8
37753711,Denoising task-related fMRI: Balancing noise reduction against signal loss,,FALSE,,,,"Hoeppli ME, Garenfeld MA, Mortensen CK, Nahman-Averbuch H, King CD, Coghill RC.",Hum Brain Mapp. 2023 Dec 1;44(17):5523-5546. doi: 10.1002/hbm.26447. Epub 2023 Sep 27.,Hoeppli ME,Hum Brain Mapp,2023,2023/09/27,PMC10619396,,10.1002/hbm.26447
37640027,Task fMRI studies investigating inhibitory control in patients with obsessive-compulsive disorder and eating disorders: A comparative meta-analysis,Not original research,,,,,"Li Z, Tong G, Wang Y, Ruan H, Zheng Z, Cheng J, Wang Z.",World J Biol Psychiatry. 2024 Jan-Feb;25(1):26-42. doi: 10.1080/15622975.2023.2251057. Epub 2023 Aug 28.,Li Z,World J Biol Psychiatry,2024,2023/08/28,,,10.1080/15622975.2023.2251057
36063799,Enhanced clinical task-based fMRI metrics through locally low-rank denoising of complex-valued data,,FALSE,,,,"Meyer NK, Kang D, Black DF, Campeau NG, Welker KM, Gray EM, In MH, Shu Y, Huston Iii J, Bernstein MA, Trzasko JD.",Neuroradiol J. 2023 Jun;36(3):273-288. doi: 10.1177/19714009221122171. Epub 2022 Sep 5.,Meyer NK,Neuroradiol J,2023,2022/09/05,PMC10268095,,10.1177/19714009221122171
35948860,Task-based functional connectivity of the Useful Field of View (UFOV) fMRI task,,FALSE,,,,"Kraft JN, Hausman HK, Hardcastle C, Albizu A, O'Shea A, Evangelista ND, Boutzoukas EM, Van Etten EJ, Bharadwaj PK, Song H, Smith SG, DeKosky S, Hishaw GA, Wu S, Marsiske M, Cohen R, Alexander GE, Porges E, Woods AJ.",Geroscience. 2023 Feb;45(1):293-309. doi: 10.1007/s11357-022-00632-1. Epub 2022 Aug 11.,Kraft JN,Geroscience,2023,2022/08/10,PMC9886714,,10.1007/s11357-022-00632-1
37423319,Methodologies for task-fMRI based prognostic biomarkers in response to aphasia treatment,,FALSE,,,,"Song SE, Krishnamurthy LC, Rodriguez AD, Han JH, Crosson BA, Krishnamurthy V.",Behav Brain Res. 2023 Aug 24;452:114575. doi: 10.1016/j.bbr.2023.114575. Epub 2023 Jul 7.,Song SE,Behav Brain Res,2023,2023/07/09,,,10.1016/j.bbr.2023.114575
37924428,Improving the Eligibility of Task-Based fMRI Studies for Meta-Analysis: A Review and Reporting Recommendations,Not original research,,,,,"Acar F, Maumet C, Heuten T, Vervoort M, Bossier H, Seurinck R, Moerkerke B.",Neuroinformatics. 2024 Jan;22(1):5-22. doi: 10.1007/s12021-023-09643-5. Epub 2023 Nov 4.,Acar F,Neuroinformatics,2024,2023/11/04,,,10.1007/s12021-023-09643-5
37756271,Brain activation by a VR-based motor imagery and observation task: An fMRI study,,FALSE,,,,"Nunes JD, Vourvopoulos A, Blanco-Mora DA, Jorge C, Fernandes JC, Bermudez I Badia S, Figueiredo P.",PLoS One. 2023 Sep 27;18(9):e0291528. doi: 10.1371/journal.pone.0291528. eCollection 2023.,Nunes JD,PLoS One,2023,2023/09/27,PMC10529559,,10.1371/journal.pone.0291528
